model with params (0.0001, 'NONE', 'high', 'high', 600, 500) took 0.5449397563934326 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 600, 700) took 0.6098542213439941 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 600, 900) took 0.6776213645935059 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 300, 200) took 0.7278168201446533 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 300, 300) took 0.7764217853546143 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 300, 500) took 0.8333065509796143 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 300, 700) took 0.8872978687286377 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 300, 900) took 0.9606194496154785 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 600, 200) took 1.0311999320983887 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 600, 300) took 1.1142592430114746 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 600, 500) took 1.178194522857666 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 600, 700) took 1.255279541015625 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'mid', 600, 900) took 1.4166393280029297 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 300, 200) took 1.462240219116211 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 300, 300) took 1.5148818492889404 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 300, 500) took 1.5831851959228516 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 300, 700) took 1.6364405155181885 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 300, 900) took 1.6961207389831543 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 600, 200) took 1.7748315334320068 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 600, 300) took 1.8326244354248047 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 600, 500) took 1.9011425971984863 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 600, 700) took 1.9723505973815918 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'low', 600, 900) took 2.0536787509918213 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 300, 200) took 2.089578866958618 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 300, 300) took 2.141744375228882 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 300, 500) took 2.185509204864502 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 300, 700) took 2.250739574432373 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 300, 900) took 2.3062126636505127 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 600, 200) took 2.4139697551727295 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 600, 300) took 2.463308095932007 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 600, 500) took 2.5278990268707275 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 600, 700) took 2.586449146270752 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'high', 600, 900) took 2.6856486797332764 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 300, 200) took 2.7535271644592285 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 300, 300) took 2.834568500518799 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 300, 500) took 2.8801631927490234 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 300, 700) took 2.939742088317871 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 300, 900) took 3.03092098236084 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 600, 200) took 3.088521957397461 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 600, 300) took 3.181896209716797 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 600, 500) took 3.2684454917907715 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 600, 700) took 3.374802350997925 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'mid', 600, 900) took 3.4975221157073975 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 300, 200) took 3.5478503704071045 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 300, 300) took 3.6190922260284424 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 300, 500) took 3.783010244369507 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 300, 700) took 3.835434913635254 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 300, 900) took 3.9113597869873047 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 600, 200) took 3.982452869415283 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 600, 300) took 4.053843259811401 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 600, 500) took 4.164615154266357 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 600, 700) took 4.266766548156738 to run on rank 0
model with params (0.0001, 'NONE', 'mid-high', 'low', 600, 900) took 4.336200952529907 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 300, 200) took 4.393683671951294 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 300, 300) took 4.453829765319824 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 300, 500) took 4.505509376525879 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 300, 700) took 4.571961164474487 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 300, 900) took 4.62585711479187 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 600, 200) took 4.681012392044067 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 600, 300) took 4.738531589508057 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 600, 500) took 4.8145623207092285 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 600, 700) took 4.899473190307617 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'high', 600, 900) took 4.992381572723389 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 300, 200) took 5.034761667251587 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 300, 300) took 5.0897979736328125 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 300, 500) took 5.148472785949707 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 300, 700) took 5.211068630218506 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 300, 900) took 5.273295879364014 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 600, 200) took 5.32879376411438 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 600, 300) took 5.393611431121826 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 600, 500) took 5.456899166107178 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 600, 700) took 5.546909332275391 to run on rank 0
model with params (0.0001, 'NONE', 'mid-low', 'mid', 600, 900)model with params (0.005, 'NONE', 'high', 'high', 300, 200) took 0.06397628784179688 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 300, 300) took 0.12018346786499023 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 300, 500) took 0.18405699729919434 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 300, 700) took 0.24547815322875977 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 300, 900) took 0.3174457550048828 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 600, 200) took 0.37653660774230957 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 600, 300) took 0.4452641010284424 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 600, 500) took 0.5018453598022461 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 600, 700) took 0.5667061805725098 to run on rank 10
model with params (0.005, 'NONE', 'high', 'high', 600, 900) took 0.6539344787597656 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 300, 200) took 0.7005617618560791 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 300, 300) took 0.7975270748138428 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 300, 500) took 0.8520777225494385 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 300, 700) took 0.9065768718719482 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 300, 900) took 0.9713535308837891 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 600, 200) took 1.0340461730957031 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 600, 300) took 1.1681649684906006 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 600, 500) took 1.2667319774627686 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 600, 700) took 1.3810420036315918 to run on rank 10
model with params (0.005, 'NONE', 'high', 'mid', 600, 900) took 1.5209667682647705 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 300, 200) took 1.5671076774597168 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 300, 300) took 1.6439013481140137 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 300, 500) took 1.7263593673706055 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 300, 700) took 1.7827117443084717 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 300, 900) took 1.8441627025604248 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 600, 200) took 1.9711177349090576 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 600, 300) took 2.0429654121398926 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 600, 500) took 2.1268391609191895 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 600, 700) took 2.2107596397399902 to run on rank 10
model with params (0.005, 'NONE', 'high', 'low', 600, 900) took 2.296233654022217 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 300, 200) took 2.336355686187744 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 300, 300) took 2.3771073818206787 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 300, 500) took 2.421942710876465 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 300, 700) took 2.488368034362793 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 300, 900) took 2.5414702892303467 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 600, 200) took 2.5948445796966553 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 600, 300) took 2.64314866065979 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 600, 500) took 2.7049169540405273 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 600, 700) took 2.7668840885162354 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'high', 600, 900) took 2.856475591659546 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 300, 200) took 2.9045777320861816 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 300, 300) took 2.9553120136260986 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 300, 500) took 3.0056025981903076 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 300, 700) took 3.0661020278930664 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 300, 900) took 3.144526243209839 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 600, 200) took 3.224364757537842 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 600, 300) took 3.29232120513916 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 600, 500) took 3.35569429397583 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 600, 700) took 3.439678430557251 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'mid', 600, 900) took 3.5700297355651855 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 300, 200) took 3.6243555545806885 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 300, 300) took 3.678907871246338 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 300, 500) took 3.733459711074829 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 300, 700) took 3.873655080795288 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 300, 900) took 3.9546380043029785 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 600, 200) took 4.030209064483643 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 600, 300) took 4.178662538528442 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 600, 500) took 4.306131839752197 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 600, 700) took 4.457664966583252 to run on rank 10
model with params (0.005, 'NONE', 'mid-high', 'low', 600, 900) took 4.60071873664856 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 300, 200) took 4.651397466659546 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 300, 300) took 4.709229230880737 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 300, 500) took 4.7680933475494385 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 300, 700) took 4.829004287719727 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 300, 900) took 4.920589923858643 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 600, 200) took 5.045735836029053 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 600, 300) took 5.129810094833374 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 600, 500) took 5.194499254226685 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 600, 700) took 5.272834777832031 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'high', 600, 900) took 5.363703966140747 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 300, 200) took 5.412342309951782 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 300, 300) took 5.493327379226685 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 300, 500) took 5.554816484451294 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 300, 700) took 5.670165061950684 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 300, 900) took 5.730725288391113 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 600, 200) took 5.789830446243286 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 600, 300) took 5.947597980499268 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 600, 500) took 6.031946897506714 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 600, 700) took 6.136833429336548 to run on rank 10
model with params (0.005, 'NONE', 'mid-low', 'mid', 600, 900)model with params (0.001, 'CONC', 'mid-high', 'high', 300, 200) took 0.061483144760131836 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 300, 300) took 0.1354236602783203 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 300, 500) took 0.18879199028015137 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 300, 700) took 0.23658537864685059 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 300, 900) took 0.29915618896484375 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 600, 200) took 0.3625524044036865 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 600, 300) took 0.4176445007324219 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 600, 500) took 0.5091729164123535 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 600, 700) took 0.5822172164916992 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'high', 600, 900) took 0.6452276706695557 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 300, 200) took 0.6924102306365967 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 300, 300) took 0.7561712265014648 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 300, 500) took 0.8146593570709229 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 300, 700) took 0.8700048923492432 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 300, 900) took 0.9308052062988281 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 600, 200) took 1.0180113315582275 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 600, 300) took 1.1003272533416748 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 600, 500) took 1.1739356517791748 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 600, 700) took 1.2696733474731445 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'mid', 600, 900) took 1.4350106716156006 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 300, 200) took 1.4900898933410645 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 300, 300) took 1.5432357788085938 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 300, 500) took 1.5908777713775635 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 300, 700) took 1.6621575355529785 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 300, 900) took 1.7311851978302002 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 600, 200) took 1.8300440311431885 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 600, 300) took 1.8924362659454346 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 600, 500) took 1.9571235179901123 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 600, 700) took 2.049039125442505 to run on rank 6
model with params (0.001, 'CONC', 'mid-high', 'low', 600, 900) took 2.1342196464538574 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 300, 200) took 2.177546262741089 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 300, 300) took 2.2179110050201416 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 300, 500) took 2.3143835067749023 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 300, 700) took 2.3968725204467773 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 300, 900) took 2.466278314590454 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 600, 200) took 2.526944875717163 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 600, 300) took 2.5802714824676514 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 600, 500) took 2.6650030612945557 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 600, 700) took 2.731806516647339 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'high', 600, 900) took 2.805351734161377 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'mid', 300, 200) took 2.8769617080688477 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'mid', 300, 300) took 2.944679021835327 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'mid', 300, 500) took 2.9973978996276855 to run on rank 6
model with params (0.001, 'CONC', 'mid-low', 'mid', 300, 700) took 3.0662682056427 to run on rank 6
