,num_agents,num_attacks
212,418,884
213,407,902
214,390,911
215,382,916
216,385,923
217,388,933
218,387,947
219,384,959
220,377,963
221,375,970
222,379,978
223,371,983
224,368,988
225,364,990
226,373,995
227,379,1000
228,382,1004
229,388,1010
230,382,1014
231,383,1016
232,386,1021
233,389,1034
234,382,1044
235,381,1047
236,388,1052
237,392,1062
238,383,1074
239,376,1077
240,380,1081
241,378,1084
242,375,1091
243,372,1095
244,374,1096
245,376,1098
246,378,1104
247,372,1112
248,370,1121
249,366,1124
250,366,1125
251,368,1125
252,368,1125
253,368,1125
254,373,1131
255,367,1134
256,367,1137
257,371,1141
258,367,1145
259,371,1149
260,377,1150
261,384,1151
262,385,1154
263,383,1154
264,388,1157
265,393,1164
266,398,1170
267,404,1177
268,402,1178
269,402,1183
270,397,1191
271,393,1197
272,392,1202
273,393,1207
274,388,1210
275,397,1218
276,391,1222
277,388,1226
278,388,1234
279,387,1239
280,387,1247
281,387,1257
282,386,1264
283,379,1266
284,383,1271
285,384,1274
286,392,1282
287,392,1293
288,389,1302
289,381,1314
290,369,1321
291,372,1325
292,371,1328
293,373,1332
294,377,1335
295,376,1340
296,378,1348
297,376,1352
298,380,1357
299,375,1361
300,380,1369
301,381,1373
302,386,1378
303,383,1385
304,378,1388
305,385,1401
306,372,1416
307,360,1421
308,359,1426
309,354,1428
310,356,1430
311,358,1434
312,364,1437
313,364,1439
314,362,1440
315,367,1443
316,367,1445
317,373,1449
318,380,1451
319,389,1454
320,389,1456
321,396,1473
322,379,1479
323,374,1481
324,379,1489
325,380,1494
326,385,1497
327,382,1502
328,386,1505
329,390,1506
330,397,1508
331,395,1508
332,405,1513
333,409,1522
334,406,1529
335,401,1535
336,406,1542
337,402,1549
338,399,1563
339,387,1578
340,383,1588
341,378,1595
342,375,1606
343,373,1618
344,370,1624
345,364,1629
346,359,1638
347,356,1648
348,349,1656
349,342,1660
350,348,1665
351,347,1666
352,350,1669
353,350,1672
354,353,1674
355,359,1679
356,357,1681
357,363,1686
358,364,1690
359,364,1692
360,373,1697
361,379,1702
362,376,1705
363,373,1708
364,372,1711
365,370,1716
366,368,1719
367,366,1720
368,366,1721
369,368,1722
370,372,1724
371,370,1730
372,374,1732
373,380,1735
374,385,1739
375,391,1744
376,397,1748
377,403,1752
378,401,1757
379,400,1763
380,403,1770
381,407,1778
382,403,1785
383,403,1790
384,410,1813
385,398,1826
386,390,1839
387,388,1850
388,380,1853
389,381,1857
390,386,1865
391,387,1869
392,388,1872
393,390,1876
394,386,1878
395,396,1879
396,399,1881
397,397,1881
398,399,1881
399,400,1882
400,406,1882
401,411,1882
402,420,1891
403,422,1901
404,421,1906
405,427,1913
406,420,1914
407,422,1918
408,427,1923
409,426,1930
410,425,1936
411,422,1952
412,410,1959
413,404,1978
414,391,1997
