,step_cat,status,num_agents,step
403,172,sympathetic,157,172
405,173,anti-violence,146,173
406,173,combatant,20,173
407,173,neutral,136,173
408,173,sympathetic,161,173
410,174,anti-violence,142,174
411,174,combatant,25,174
412,174,neutral,138,174
413,174,sympathetic,162,174
415,175,anti-violence,140,175
416,175,combatant,16,175
417,175,neutral,139,175
418,175,sympathetic,167,175
420,176,anti-violence,127,176
421,176,combatant,21,176
422,176,neutral,139,176
423,176,sympathetic,164,176
425,177,anti-violence,118,177
426,177,combatant,34,177
427,177,neutral,127,177
428,177,sympathetic,175,177
430,178,anti-violence,115,178
431,178,combatant,21,178
432,178,neutral,118,178
433,178,sympathetic,185,178
435,179,anti-violence,114,179
436,179,combatant,22,179
437,179,neutral,117,179
438,179,sympathetic,179,179
440,18,anti-violence,85,18
441,18,neutral,50,18
442,18,sympathetic,27,18
444,180,anti-violence,112,180
445,180,combatant,21,180
446,180,neutral,121,180
447,180,sympathetic,182,180
449,181,anti-violence,112,181
450,181,combatant,14,181
451,181,neutral,115,181
452,181,sympathetic,182,181
454,182,anti-violence,113,182
455,182,combatant,16,182
456,182,neutral,124,182
457,182,sympathetic,176,182
459,183,anti-violence,116,183
460,183,combatant,10,183
461,183,neutral,124,183
462,183,sympathetic,179,183
464,184,anti-violence,112,184
465,184,combatant,10,184
466,184,neutral,125,184
467,184,sympathetic,184,184
469,185,anti-violence,107,185
470,185,combatant,18,185
471,185,neutral,132,185
472,185,sympathetic,180,185
474,186,anti-violence,104,186
475,186,combatant,19,186
476,186,neutral,134,186
477,186,sympathetic,177,186
479,187,anti-violence,102,187
480,187,combatant,18,187
481,187,neutral,131,187
482,187,sympathetic,173,187
484,188,anti-violence,100,188
485,188,combatant,17,188
486,188,neutral,135,188
487,188,sympathetic,171,188
489,189,anti-violence,96,189
490,189,combatant,10,189
491,189,neutral,137,189
492,189,sympathetic,173,189
494,19,anti-violence,90,19
495,19,neutral,52,19
496,19,sympathetic,20,19
498,190,anti-violence,91,190
499,190,combatant,9,190
500,190,neutral,135,190
501,190,sympathetic,178,190
503,191,anti-violence,93,191
504,191,combatant,11,191
505,191,neutral,124,191
506,191,sympathetic,183,191
508,192,anti-violence,93,192
509,192,combatant,18,192
510,192,neutral,125,192
511,192,sympathetic,181,192
513,193,anti-violence,91,193
514,193,combatant,16,193
515,193,neutral,119,193
516,193,sympathetic,182,193
518,194,anti-violence,90,194
519,194,combatant,14,194
520,194,neutral,122,194
521,194,sympathetic,175,194
523,195,anti-violence,92,195
524,195,combatant,17,195
525,195,neutral,123,195
526,195,sympathetic,167,195
528,196,anti-violence,94,196
